id,app_names,smash_css_names,ultimate_sounds,smash4_sounds,brawl_sounds,melee_sounds,n64_sounds
1,Mario,mario,Super Smash Bros Ultimate/Announcer/vc_narration_characall_mario.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_mario.wav,group_narration_characall/Wave0.wav,"Character Call voices, Classic narrator, Narrator at Melee Mode/nr_name15.dsp.wav",Announcer - Mario.wav
2,Donkey Kong,donkey_kong,Super Smash Bros Ultimate/Announcer/vc_narration_characall_donkey.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Donkey.wav,group_narration_characall/Wave1.wav,"Character Call voices, Classic narrator, Narrator at Melee Mode/nr_name01.dsp.wav",Announcer - Donkey Kong.wav
3,Link,link,Super Smash Bros Ultimate/Announcer/vc_narration_characall_link.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Link.wav,group_narration_characall/Wave2.wav,"Character Call voices, Classic narrator, Narrator at Melee Mode/nr_name12.dsp.wav",Announcer - Link.wav
4,Samus,samus,Super Smash Bros Ultimate/Announcer/vc_narration_characall_samus.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Samus.wav,group_narration_characall/Wave3.wav,"Character Call voices, Classic narrator, Narrator at Melee Mode/nr_name1e.dsp.wav",Announcer - Samus.wav
5,Dark Samus,dark_samus,Super Smash Bros Ultimate/Announcer/vc_narration_characall_dsamus.wav,,,,
6,Yoshi,yoshi,Super Smash Bros Ultimate/Announcer/vc_narration_characall_yoshi.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Yoshi.wav,group_narration_characall/Wave4.wav,"Character Call voices, Classic narrator, Narrator at Melee Mode/nr_name1f.dsp.wav",Announcer - Yoshi.wav
7,Kirby,kirby,Super Smash Bros Ultimate/Announcer/vc_narration_characall_kirby.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Kirby.wav,group_narration_characall/Wave5.wav,"Character Call voices, Classic narrator, Narrator at Melee Mode/nr_name0f.dsp.wav",Announcer - Kirby.wav
8,Fox,fox,Super Smash Bros Ultimate/Announcer/vc_narration_characall_fox.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Fox.wav,group_narration_characall/Wave6.wav,"Character Call voices, Classic narrator, Narrator at Melee Mode/nr_name05.dsp.wav",Announcer - Fox.wav
9,Pikachu,pikachu,Super Smash Bros Ultimate/Announcer/vc_narration_characall_pikachu.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Pikachu.wav,group_narration_characall/Wave7.wav,"Character Call voices, Classic narrator, Narrator at Melee Mode/nr_name1d.dsp.wav",Announcer - Pikachu.wav
10,Luigi,luigi,Super Smash Bros Ultimate/Announcer/vc_narration_characall_luigi.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Luigi.wav,group_narration_characall/Wave8.wav,"Character Call voices, Classic narrator, Narrator at Melee Mode/nr_name14.dsp.wav",Announcer - Luigi.wav
